MBC [IDX];Last Successful Poll;IP;Registration Status Group;CM Score;CM DS Avg Pwr;CM US Avg Pwr;CM DS Avg MER;CM US Avg MER;CM Uncorr Codewords;CM Corr Codewords;Flap Ins;Flap Power Adjustment;Flap Total Num;Flap Miss/Hit Ratio;CM Jitter;CM Latency;Packet Loss Rate;CM UpTime;Status Resets;CM DS Ch Set;CM US Ch Set;Memory Utilization;Processor Utilization;Device Name
B8:66:85:FF:4E:B4;08-04-2020 08:41;11.130.1.36;W-Online;95;-6.23;50.5;42.74;40;0;0;1;3;2;0;0;6;0;300373;0;32 bonding;OFDM;35;4;CM1
28:9E:FC:0B:33:9B;08-04-2020 08:41;11.130.0.166;W-Online;100;6.43;42.8;47.21;45.1;0;0;1;0;0;0;1;5;0;1068829;0;32 bonding;OFDM;35;8;CM1
B8:66:85:FF:8F:C1;08-04-2020 08:41;11.116.115.211;W-Online;100;6.53;45;45.05;42.1;0;0;0;30;51;0;3;6;0;1770141;0;32 bonding;OFDM;35;7;CM1
28:9E:FC:0D:7B:10;08-04-2020 08:41;11.130.0.82;W-Online;100;3.81;44.5;45.37;45.1;0;0;1;0;54;0;2;7;0;4334750;0;24 bonding;OFDM;33;3;CM1
B8:66:85:FF:B8:1E;08-04-2020 08:41;11.130.2.169;P-Online;100;2.35;49.8;45.67;40.3;0.01;0.01;1;0;4;0;1;7;0;2157033;0;32 bonding;OFDM;35;6;CM1
28:9E:FC:0D:58:B8;08-04-2020 08:41;11.116.115.118;W-Online;100;-9.68;46.8;41.32;39.1;0;0.05;1;15;11008;0;1;6;0;1952394;0;32 bonding;OFDM;36;8;CM1
B8:66:85:FF:B6:FE;08-04-2020 08:41;11.130.0.96;W-Online;100;4.15;31.2;43.7;37;0;0;0;0;55;0;1;6;0;3609811;0;Mix Bonding;OFDM;38;4;CM1
B8:66:85:FF:9E:2B;08-04-2020 08:41;11.130.0.59;W-Online;100;-0.37;35;43.91;36.5;0;0;3;37;1207;0.151515;0;7;0;1030613;0;Mix Bonding;OFDM;37;18;CM1
B8:66:85:FF:B3:FC;08-04-2020 08:41;11.130.1.118;W-Online;100;1.62;46.3;45.26;42.1;0.01;0.01;1;1;1905;0;5;9;0;1331476;0;32 bonding;OFDM;35;60;CM1
B8:D9:4D:63:E7:DE;08-04-2020 08:41;11.130.2.46;W-Online;100;6.16;44.8;45.72;38.3;0;0.01;1;4;687;0;1;6;0;10782777;6;24 bonding;OFDM;43;7;CM1
B8:D9:4D:63:E7:0C;08-04-2020 08:41;11.130.0.76;W-Online;100;-1.97;45.3;43.96;40.3;0;0.05;1;17;29196;0;0;6;0;248287;1;32 bonding;OFDM;35;9;CM1
28:9E:FC:0D:B7:2B;08-04-2020 08:41;11.116.115.5;W-Online;95;9.22;48;46.5;41.6;0;0;1;3;20;0;1;6;0;10864156;1;24 bonding;OFDM;39;11;CM1
28:9E:FC:0D:5B:78;08-04-2020 08:41;11.130.7.110;W-Online;100;1.98;44.5;44.62;45.1;0;0;1;4;209;0;17;12;0;3853558;0;32 bonding;OFDM;36;6;CM1
28:9E:FC:0D:59:E5;08-04-2020 08:41;11.116.115.153;W-Online;100;2.02;32;43.6;39;0;0;0;22;112;0;1;6;0;1512006;0;Mix Bonding;OFDM;37;5;CM1
